BOWLING_ODIs_Mat,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BATTING_ODIs_Mat,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,Playing role,NAME,COUNTRY,ID
17.0,-,-,-,-,-,-,-,-,17.0,1,264,60,17.6,488,54.09,0,2,15,0,20,2,Wicketkeeper batsman,Afsar Zazai,Afghanistan,420402
2.0,96,49,2,24.5,3.06,48,0,0,2.0,0,3,3,3,16,18.75,0,0,0,0,1,0,Bowler,Abdullah Mazari,Afghanistan,390752
74.0,3391,3001,103,29.13,5.3,32.9,3,0,74.0,26,502,47*,20.91,627,80.06,0,0,38,21,14,0,Bowler,Dawlat Zadran,Afghanistan,516561
3.0,112,121,1,121,6.48,112,0,0,3.0,-,-,-,-,-,-,-,-,-,-,0,0,Bowler,Dawlat Ahmadzai,Afghanistan,25917
5.0,150,143,5,28.6,5.72,30,0,0,5.0,2,1,1*,-,6,16.66,0,0,0,0,2,0,Bowler,Fareed Ahmad,Afghanistan,568136
52.0,1594,1360,40,34,5.11,39.8,2,0,52.0,8,807,82*,22.41,1136,71.03,0,5,59,23,9,0,Bowler,Gulbadin Naib,Afghanistan,352048
6.0,-,-,-,-,-,-,-,-,6.0,0,155,67,25.83,145,106.89,0,1,13,10,1,0,Opening batsman,Hazratullah Zazai,Afghanistan,793457
2.0,114,73,3,24.33,3.84,38,0,0,2.0,1,23,23*,-,11,209.09,0,0,2,1,0,0,Bowler,Hasti Gul,Afghanistan,320281
28.0,18,25,0,-,8.33,-,0,0,28.0,5,747,97*,32.47,1179,63.35,0,6,59,0,6,0,Top-order batsman,Hashmatullah Shahidi,Afghanistan,440970
32.0,1518,1153,56,20.58,4.55,27.1,2,1,32.0,4,92,17,7.07,171,53.8,0,0,9,2,4,0,Bowler,Hamid Hassan,Afghanistan,311427
2.0,-,-,-,-,-,-,-,-,2.0,1,6,5*,6,13,46.15,0,0,0,0,0,1,Top-order batsman,Ikram Ali Khil,Afghanistan,935553
16.0,-,-,-,-,-,-,-,-,16.0,2,307,57*,21.92,440,69.77,0,3,38,6,10,0,Top-order batsman,Ihsanullah,Afghanistan,703323
42.0,365,294,8,36.75,4.83,45.6,1,0,42.0,0,971,81,24.89,1274,76.21,0,7,115,13,10,0,Top-order batsman,Javed Ahmadi,Afghanistan,308235
6.0,252,150,9,16.66,3.57,28,0,0,6.0,1,40,20,13.33,69,57.97,0,0,1,0,0,0,Bowler,Khaliq Dad,Afghanistan,25905
24.0,320,201,6,33.5,3.76,53.3,0,0,24.0,2,475,114*,23.75,587,80.91,2,0,49,15,6,0,Opening batsman,Karim Sadiq,Afghanistan,319758
1.0,24,31,0,-,7.75,-,0,0,1.0,0,9,9,9,33,27.27,0,0,0,0,0,0,Bowling allrounder,Karim Janat,Afghanistan,793467
5.0,-,-,-,-,-,-,-,-,5.0,0,194,87,38.8,271,71.58,0,2,16,1,2,0,Top-order batsman,Michael Jones,Scotland,1093091
2.0,60,49,1,49,4.9,60,0,0,2.0,1,9,9*,-,14,64.28,0,0,1,0,0,0,Bowler,Stuart Chalmers,Scotland,412321
20.0,559,490,12,40.83,5.25,46.5,0,0,20.0,1,228,39,16.28,251,90.83,0,0,24,3,8,0,Bowler,Stuart Thompson,Ireland,414821
3.0,72,73,1,73,6.08,72,0,0,3.0,0,2,2,1,21,9.52,0,0,0,0,1,0,Bowler,Greg Thompson,Ireland,24616
9.0,432,323,11,29.36,4.48,39.2,0,1,9.0,2,15,8,3.75,25,60,0,0,0,1,1,0,Bowler,Albert van der Merwe,Ireland,463217
99.0,-,-,-,-,-,-,-,-,99.0,11,1974,113,24.07,2739,72.07,1,12,174,21,66,10,Wicketkeeper batsman,Gary Wilson,Ireland,24609
61.0,869,688,25,27.52,4.75,34.7,1,0,61.0,3,776,79,18.04,1235,62.83,0,1,60,1,21,0,Allrounder,Andrew White,Ireland,24286
2.0,90,99,2,49.5,6.6,45,0,0,2.0,0,5,5,2.5,12,41.66,0,0,1,0,0,0,Bowler,Roger Whelan,Ireland,245186
10.0,447,279,9,31,3.74,49.6,1,0,10.0,2,61,29*,30.5,41,148.78,0,0,6,3,4,0,Bowler,Regan West,Ireland,38759
13.0,657,563,27,20.85,5.14,24.3,0,1,13.0,2,20,11*,5,32,62.5,0,0,2,1,2,0,Bowler,Craig Young,Ireland,364343
1.0,-,-,-,-,-,-,-,-,1.0,0,11,11,11,9,122.22,0,0,1,0,0,0,Allrounder,Dylan Budge,Scotland,764321
70.0,1262,1116,31,36,5.3,40.7,1,0,70.0,6,1597,101*,27.06,2231,71.58,1,11,110,27,24,0,Top-order batsman,Richie Berrington,Scotland,25490
43.0,-,-,-,-,-,-,-,-,43.0,1,865,114,22.76,1101,78.56,2,2,88,13,65,3,Wicketkeeper batsman,Matthew Cross,Scotland,417268
16.0,-,-,-,-,-,-,-,-,16.0,0,211,70,15.07,344,61.33,0,1,21,1,8,0,Opening batsman,Freddie Coleman,Scotland,364329
50.0,179,203,1,203,6.8,179,0,0,50.0,2,1969,156,42.8,2217,88.81,4,12,257,28,14,0,Top-order batsman,Kyle Coetzer,Scotland,25446
30.0,1263,932,25,37.28,4.42,50.5,1,0,30.0,7,240,35*,18.46,262,91.6,0,0,21,4,5,0,Bowler,Gordon Drummond,Scotland,295644
13.0,546,371,16,23.18,4.07,34.1,0,1,13.0,4,123,26*,20.5,200,61.5,0,0,6,1,7,0,Bowling allrounder,Con de Lange,Scotland,44851
29.0,1199,1014,47,21.57,5.07,25.5,1,2,29.0,5,471,64,22.42,715,65.87,0,2,44,1,9,0,Allrounder,Josh Davey,Scotland,407265
31.0,1433,1223,43,28.44,5.12,33.3,2,0,31.0,8,94,28,13.42,142,66.19,0,0,9,1,6,0,Bowler,Alasdair Evans,Scotland,399259
1.0,-,-,-,-,-,-,-,-,1.0,0,0,0,0,2,0,0,0,0,0,0,0,Top-order batsman,Ryan Flannigan,Scotland,303412
16.0,729,623,23,27.08,5.12,31.6,0,1,16.0,3,80,23,10,99,80.8,0,0,6,5,7,0,Bowler,Gordon Goudie,Scotland,25476
11.0,-,-,-,-,-,-,-,-,11.0,0,262,96,23.81,396,66.16,0,2,33,0,4,0,Opening batsman,Hamish Gardiner,Scotland,638713
8.0,-,-,-,-,-,-,-,-,8.0,1,63,17,9,143,44.05,0,0,6,0,1,0,Batsman,Omer Hussain,Scotland,25471
54.0,2633,1975,60,32.91,4.5,43.8,2,1,54.0,6,566,71,16.64,931,60.79,0,3,66,2,10,0,Bowler,Majid Haq,Scotland,25451
5.0,-,-,-,-,-,-,-,-,5.0,0,68,27,13.6,100,68,0,0,13,0,0,0,Opening batsman,Ollie Hairs,Scotland,414973
13.0,270,270,4,67.5,6,67.5,0,0,13.0,4,192,63,24,360,53.33,0,1,13,1,1,0,Batsman,Moneeb Iqbal,Scotland,25433
30.0,962,881,14,62.92,5.49,68.7,1,0,30.0,6,435,59*,24.16,399,109.02,0,3,38,16,15,0,Allrounder,Michael Leask,Scotland,414966
8.0,-,-,-,-,-,-,-,-,8.0,2,58,20*,11.6,118,49.15,0,0,3,0,8,3,Middle-order batsman,David Murphy,Scotland,297524
16.0,-,-,-,-,-,-,-,-,16.0,3,381,55,29.3,529,72.02,0,1,43,7,8,0,Opening batsman,George Munsey,Scotland,671805
44.0,132,130,6,21.66,5.9,22,0,0,44.0,6,1115,139*,30.97,1615,69.04,2,6,93,8,22,0,Opening batsman,Preston Mommsen,Scotland,461281
7.0,48,38,0,-,4.75,-,0,0,7.0,2,84,31,21,133,63.15,0,0,5,1,5,0,Batsman,Gregor Maiden,Scotland,25102
57.0,674,618,8,77.25,5.5,84.2,0,0,57.0,6,1853,175,37.81,2224,83.31,7,6,193,21,22,0,Top-order batsman,Calum MacLeod,Scotland,232435
21.0,-,-,-,-,-,-,-,-,21.0,0,237,67,11.28,377,62.86,0,1,31,2,7,0,Batsman,Navdeep Poonia,Scotland,19276
4.0,-,-,-,-,-,-,-,-,4.0,0,3,3,1.5,18,16.66,0,0,0,0,3,1,Wicketkeeper,Marc Petrie,Scotland,364330
10.0,414,327,12,27.25,4.73,34.5,1,0,10.0,2,59,22,9.83,104,56.73,0,0,4,0,3,0,Bowler,Matthew Parker,Scotland,298197
13.0,512,409,8,51.12,4.79,64,0,0,13.0,3,81,26,16.2,169,47.92,0,0,10,0,2,0,Bowler,Glenn Rogers,Scotland,272473
5.0,150,166,6,27.66,6.64,25,0,0,5.0,1,44,22*,11,75,58.66,0,0,1,3,1,0,Bowler,Jan Stander,Scotland,298195
11.0,522,468,18,26,5.37,29,2,0,11.0,0,16,7,3.2,36,44.44,0,0,1,0,3,0,Bowler,Chris Sole,Scotland,671823
